PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,LogGI50_M,LogGI50_u,LogGI50_V,IndnGI50,StddevGI50,LogTGI_M,LogTGI_u,LogTGI_V,IndnTGI,StddevTGI
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT
RESULT_DESCR,,,,,,,,"Log of the GI50 result, unit: M.","Log of the GI50 result, unit: ug/mL.","Log of the GI50 result, unit: Volumetric.",Number of tests averaged for the GI50 value for this NSC and cell line.,Standard Deviation of the Log10 of the GI50 result averaged across all tests for this NSC and cell line.,"Log of the TGI result, unit: M.","Log of the TGI result, unit: ug/mL.","Log of the TGI result, unit: Volumetric.",Number of tests averaged for the TGI value for this NSC and cell line.,Standard Deviation of the Log10 of the TGI result averaged across all tests for this NSC and cell line.
53581,440812671,145982185,C#C[C@]1([C@H](O[C@H]([C@@H]1O)N2C=C(C3=C(N=CN=C32)N)C(F)(F)F)CO)O,Inactive,36,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793695&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.1864,,,2,0.0022,-5.0868,,,2,0.0703
53582,440815634,155816668,CCC1=CC=CC(=C1NC(=O)C2=C(C3=C(S2)N=C4CCCCCC4=C3)N)C,Inactive,22,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793707&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.3305,,,1,0,-4,,,1,0
53583,440801854,9577124,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)/C=N/OC(C)(C)C)O,Active,67,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793724&systemname=NCI+Cancer&idn1=1&idn2=1,,-8,,,2,0,-6.8004,,,2,0.2474
53584,440815542,72165232,C1CO[C@H](CN1)CNC2=CC(=NC=C2C(F)(F)F)NC3=NC=C(N=C3)C#N,Inactive,35,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793726&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.1016,,,1,0,-4.5716,,,1,0
53585,440812863,74222277,CN1C2=C(C=C(C=C2)C3=CN=C(C(=C3N4CCC5(CCNC5=O)CC4)Cl)N)C=N1,Inactive,6,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793727&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.3304,,,1,0,-4,,,1,0
53586,440809760,155813361,CC(C)(CN=C(N)NC1=NC=C(C=C1)C(=O)OC)COC2=CC=C(C=C2)C(F)(F)F,Inactive,31,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793787&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.8373,,,1,0,-5.5098,,,1,0
53587,440810337,155813688,CC(C)(CCN=C(N)NC1=CC=CC=N1)C2=CC=C(C=C2)C(F)(F)F,Inactive,15,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793789&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8959,,,1,0,-4.5594,,,1,0
53588,440813062,155815238,COC1=CC=C(C=C1)/C=C/C(=O)C2=CC=C(C=C2)NC(=O)CSC3=NN=C(O3)C4=CC(=C(C(=C4)OC)OC)OC,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793836&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7266,,,1,0,-5.4013,,,1,0
53589,440815301,155816508,CCC1=C(C2=CC(=C(C(=C2OC1=O)C)O)N3C(=CSC3=N)C4=CC=C(C=C4)OC)C,Inactive,30,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793897&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.8205,,,1,0,-5.2872,,,1,0
53590,441653753,,,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793903&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7303,,,1,0,-5.4275,,,1,0
53591,440807866,155812326,CCOC(=O)C1=NOC2=C1CCC3=C(N(C=C32)CC4=CC=C(C=C4)OC)C5=CC(=C(C(=C5)OC)OC)OC,Inactive,25,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793969&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.5169,,,1,0,-4,,,1,0
53592,440815723,155816728,COC1=CC=C(C=C1)CN2C=C3C(=C2C4=CC(=C(C(=C4)OC)OC)OC)CCC5=C3ON=C5CO,Inactive,37,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793973&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.2131,,,2,0.1054,-4.3754,,,2,0.0678
53593,440798652,155807114,CN1C=C(C2=C1N=CC=C2)C3=CSC(=N3)C4=CN(C5=C4C=C(C=C5)F)CCN6CCOCC6,Inactive,27,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793980&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6067,,,1,0,-5.1028,,,1,0
53594,440796466,155805926,C1CCN(CC1)CCCN2C=C(C3=C2C=CC(=C3)F)C4=NC(=CS4)C5=CNC6=C5C=CC=N6,Inactive,30,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793989&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7841,,,1,0,-5.5044,,,1,0
53595,440816484,155817214,CN1C=C(C2=C1N=CC=C2)C3=CSC(=N3)C4=CN(C5=C4C=C(C=C5)OC)CCCN6CCCCC6,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793990&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7419,,,1,0,-5.4575,,,1,0
