PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,LogGI50_M,LogGI50_u,LogGI50_V,IndnGI50,StddevGI50,LogTGI_M,LogTGI_u,LogTGI_V,IndnTGI,StddevTGI
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT
RESULT_DESCR,,,,,,,,"Log of the GI50 result, unit: M.","Log of the GI50 result, unit: ug/mL.","Log of the GI50 result, unit: Volumetric.",Number of tests averaged for the GI50 value for this NSC and cell line.,Standard Deviation of the Log10 of the GI50 result averaged across all tests for this NSC and cell line.,"Log of the TGI result, unit: M.","Log of the TGI result, unit: ug/mL.","Log of the TGI result, unit: Volumetric.",Number of tests averaged for the TGI value for this NSC and cell line.,Standard Deviation of the Log10 of the TGI result averaged across all tests for this NSC and cell line.
1,66954,11122,CC1=CC(=O)C=CC1=O,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5753,,,1,0,-4,,,1,0
2,66954,11122,CC1=CC(=O)C=CC1=O,Inactive,11,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6886,,,2,0.03,-4.2218,,,2,0.0553
3,66970,219123,CCCCCCCCCCCCCCCC1=C(C=CC(=C1)O)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=17&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0169,,,3,0.0216,-4,,,3,0
4,66977,219128,C1=CC=C(C=C1)C(CCI)(C2=CC=CC=C2)C3=CC=CC=C3,Inactive,15,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=26&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8729,,,1,0,-4.5084,,,1,0
5,538184,92844,CN(C)CCC(=O)C1=CC=CC=C1.Cl,Inactive,3,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=89&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.2086,,,3,0.3613,-4.1307,,,3,0.2263
6,538185,24180730,CC1=CC(=C(C(=C1C)C)C[N+](C)(C)C)C.[Cl-],Active,40,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=112&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.4032,,,2,0.0572,-4.9102,,,2,0.0106
7,67107,1018,C1=CC=NC(=C1)C(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=171&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
8,67121,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,55,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=185&systemname=NCI+Cancer&idn1=1&idn2=1,,-7.2874,,,2,0.3079,-6.0266,,,2,0.0992
9,67122,54680783,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=186&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.618,,,3,0.0199,-4.2333,,,3,0.0635
10,67122,54680783,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,Inactive,11,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=186&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6883,,,5,0.1944,-4.1464,,,5,0.2607
11,67129,5354062,C1=CC=C(C=C1)C(=O)/C=C/C2=CN=CC=C2,Inactive,13,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=196&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.7612,,,1,0,-4.4034,,,1,0
12,67130,5354063,C1=CC=C(C=C1)C(=O)/C=C/C2=CC=CC=N2,Inactive,13,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=197&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.7874,,,1,0,-4.4585,,,1,0
13,67213,707067,C1=CC=C(C=C1)/C=C\2/C(=O)OC(=N2)C3=CC=CC=C3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=291&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
14,67217,4775,C1=CC=C(C=C1)CCCC(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=295&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
15,67217,4775,C1=CC=C(C=C1)CCCC(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=295&systemname=NCI+Cancer&idn1=1&idn2=1,,-3,,,1,0,-3,,,1,0
16,67274,54601722,CCN(CC)CCCC(C)NC1=C2C=C(C(=CC2=NC=C1C)Cl)C.OP(=O)(O)O,Inactive,16,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=355&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.9377,,,2,0.0172,-4.6223,,,2,0.0154
17,67294,219294,C1=CC=C(C=C1)OC2=CC=C(C=C2)CCCC3=C(C4=CC=CC=C4C(=O)C3=O)O,Inactive,22,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=377&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.339,,,1,0,-4.7181,,,1,0
18,67299,54599265,CCCCCN(CCCCC)CCCNC1=C2CCCCC2=NC3=C1C=C(C=C3)Cl.OP(=O)(O)O,Inactive,28,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=384&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6745,,,1,0,-5.1717,,,1,0
19,67351,5565,C(CNCCNCCN)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=443&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
20,67361,6610,CCC(C)(C)C1=CC(=C(C=C1O)C(C)(C)CC)O,Inactive,25,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=455&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.4981,,,1,0,-4.9075,,,1,0
21,67379,7333,CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=473&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
22,67383,219320,C1=CC=C(C=C1)CC2(C(=O)NC(=O)N2)C3=CN=CC=C3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=479&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
23,67432,94724,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2OCC(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=531&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
24,538225,,,Inactive,13,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=534&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.7729,,,2,0.1289,-4.4205,,,2,0.1045
25,538229,54605043,C1=CC=C2C(=C1)C3=CC=CC=C3[I+]2.I,Inactive,11,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=577&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6397,,,1,0,-4.301,,,1,0
26,67492,219376,CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br)[N+](=O)[O-],Inactive,12,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=596&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.7221,,,1,0,-4.316,,,1,0
27,67525,11254,C1C(O1)C2CO2,Inactive,12,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=629&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.743,,,1,0,-4,,,1,0
28,67610,690109,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=S)N,Inactive,28,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=721&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6763,,,1,0,-5.3562,,,1,0
29,67610,690109,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=S)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=721&systemname=NCI+Cancer&idn1=1&idn2=1,,-3.7297,,,1,0,-3.417,,,1,0
30,538238,24180757,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCSC(=N)N.Cl,Inactive,26,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=738&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.5451,,,1,0,-5.1321,,,1,0
31,67626,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Active,61,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=739&systemname=NCI+Cancer&idn1=1&idn2=1,,-7.6707,,,2,0.3163,-4,,,2,0
32,67627,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=740&systemname=NCI+Cancer&idn1=1&idn2=1,,-8.6021,,,1,0,-8.6021,,,1,0
33,67627,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Active,52,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=740&systemname=NCI+Cancer&idn1=1&idn2=1,,-7.1062,,,5,0.3049,-5,,,5,0
34,67627,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Active,56,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=740&systemname=NCI+Cancer&idn1=1&idn2=1,,-7.3659,,,115,0.5093,-3.9304,,,115,0.9368
35,538239,6331826,C(C(C(=O)O)N)OC(=O)C=[N+]=N,Inactive,33,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=742&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.9818,,,5,0.4833,-3.2971,,,5,0.208
36,538242,135403646,C12=NNN=C1N=C(NC2=O)N,Inactive,14,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=749&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8271,,,4,0.3284,-4,,,4,0
37,67633,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=750&systemname=NCI+Cancer&idn1=1&idn2=1,,-3.6376,,,44,0.1149,-3.6042,,,44,0.0145
38,67633,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=750&systemname=NCI+Cancer&idn1=1&idn2=1,,-3.1642,,,4,0.2018,-3,,,4,0
39,538243,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Inactive,25,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=752&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.5128,,,1,0,-4.5443,,,1,0
40,538243,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Inactive,33,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=752&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.958,,,118,0.2856,-4.6068,,,118,0.618
41,538243,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Inactive,33,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=752&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.9856,,,2,0.0891,-4.9934,,,2,0.0078
42,538245,667490,C1=NC2=C(N1)C(=S)N=CN2,Inactive,24,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=755&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.413,,,117,0.3022,-3.5672,,,117,0.5915
43,538245,667490,C1=NC2=C(N1)C(=S)N=CN2,Inactive,18,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=755&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.0988,,,2,0.8697,-3.1249,,,2,0
44,67636,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=757&systemname=NCI+Cancer&idn1=1&idn2=1,,-8.2041,,,1,0,-8.2041,,,1,0
45,67636,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,63,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=757&systemname=NCI+Cancer&idn1=1&idn2=1,,-7.7851,,,7,0.2454,-5.1597,,,7,1.6819
46,67636,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,53,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=757&systemname=NCI+Cancer&idn1=1&idn2=1,,-7.2041,,,6,0,-5.3708,,,6,2.0412
47,538248,5935,CN(CCCl)CCCl.Cl,Inactive,28,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=762&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6721,,,2,0.2922,-4.8119,,,2,0.3661
48,538248,5935,CN(CCCl)CCCl.Cl,Inactive,33,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=762&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.985,,,45,0.381,-5.0965,,,45,0.2812
49,538248,5935,CN(CCCl)CCCl.Cl,Inactive,24,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=762&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.4201,,,2,0.6678,-4.9223,,,2,0.3911
50,67645,8805,CC(=O)NC1=CC=C(C=C1)C(=O)CCl,Inactive,16,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=768&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.943,,,1,0,-4.4997,,,1,0
51,67673,219450,C1=CC=C(C=C1)C(=O)CC(C2=CC=NC=C2)O,Inactive,6,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=796&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.3687,,,1,0,-4,,,1,0
52,67675,5354119,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=N2,Inactive,12,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=798&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.7479,,,1,0,-4.4501,,,1,0
53,67707,736782,C1=CN=CC=C1/C=C/C(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=830&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
54,67720,22311,CC1=CCC(CC1)C(=C)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=844&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
55,67720,22311,CC1=CCC(CC1)C(=C)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=844&systemname=NCI+Cancer&idn1=1&idn2=1,,-3.03,,,1,0,-2.7726,,,1,0
56,67752,219490,CN(C)C1=C(C=C(C=C1)C(=O)C2=CC(=C(C=C2)N(C)C)N)N,Inactive,17,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=885&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.0108,,,3,0.5464,-4.0927,,,3,0.1606
57,67867,219559,CC(C)N(CC(=O)O)CC(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1004&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
58,67873,219563,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)[N+](=O)[O-],Active,40,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1010&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.3835,,,2,0.1296,-4,,,2,0
59,67874,219564,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)C(=O)O,Inactive,14,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1011&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8336,,,2,0.0503,-4,,,2,0
60,67875,95307,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=CC=C4C(=O)O,Inactive,15,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1012&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.9006,,,2,0.1464,-4.2761,,,2,0.3904
61,67876,219565,C1=CC=C(C=C1)NC(C2=CC=C(C=C2)[N+](=O)[O-])C3=C(C4=C(C=CC=N4)C=C3)O,Inactive,16,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1013&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.9388,,,2,0.0914,-4,,,2,0
62,67877,219566,CC1=CC(=NC=C1)NC(C2=CC=CC=C2)C3=C(C4=C(C=CC=N4)C=C3)O,Inactive,22,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1014&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.2909,,,1,0,-4,,,1,0
63,67878,219567,CCOC(=O)C1=CC=CC=C1NC(C2=CC=CC=C2)C3=C(C4=C(C=CC=N4)C=C3)O,Inactive,23,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1015&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.3749,,,1,0,-4,,,1,0
64,67889,2901,C1CCC(C1)(C(=O)O)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1026&systemname=NCI+Cancer&idn1=1&idn2=1,,-3.2041,,,5,0,-3.2041,,,5,0
65,67890,219573,CC(C)(C(=O)C(Br)Br)Br,Inactive,22,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1027&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.3359,,,2,0.139,-4.8047,,,2,0.1145
66,67890,219573,CC(C)(C(=O)C(Br)Br)Br,Inactive,21,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1027&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.2337,,,1,0,-4.9775,,,1,0
67,67903,219585,CCN(CC(=O)O)CC(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1042&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
68,67917,366,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1059&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
69,67921,219600,COC1=CC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NCCCCCN4CCCCC4,Inactive,33,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1063&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.9644,,,1,0,-5.5459,,,1,0
70,538274,3029810,CC(CC1=CC=CC=C1OC)N.Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1139&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
71,68044,219648,C[C@]12CC[C@@H](C1(C)C)C[C@@H]2OCC(C)(C)N,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1199&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6252,,,1,0,-4.1806,,,1,0
72,68096,8019,COCCO,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1258&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,2,0,-4,,,2,0
73,68151,219690,CCCCCCCCCCNC(=O)CI,Inactive,34,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1338&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.032,,,2,0.2714,-5.5616,,,2,0.1513
74,68199,135401907,C1=NNC2=C1C(=O)NC=N2,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1390&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,2,0,-4,,,2,0
75,68199,135401907,C1=NNC2=C1C(=O)NC=N2,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1390&systemname=NCI+Cancer&idn1=1&idn2=1,,-3.6448,,,2,0.2348,-2.729,,,2,0.6052
76,68202,75420,C1=NNC2=NC=NC(=C21)N,Inactive,30,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1393&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7979,,,2,0.0191,-4.4193,,,2,0.1818
77,68233,219751,CN1C2=C(C=N1)C(=NC=N2)Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1424&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
78,68242,219760,CCCCNC1=C2C=NN(C2=NC=N1)C3=CC=CC=C3,Inactive,25,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1433&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.4766,,,2,0.0424,-4,,,2,0
79,68260,219778,CN1C2=NC=NC(=C2C=N1)NCC3=CC=CC=C3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1451&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
80,538317,95318,C1=CC2=C(NN=C2C=C1)CC(C(=O)O)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1460&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
81,68285,219796,C[C@]12CC[C@@H](C1(C)C)C[C@@H]2OCC(C)(C)[N+](=O)[O-],Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1482&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5866,,,1,0,-4.1832,,,1,0
82,68294,7472,CN(C)C1=CC=C(C=C1)N,Inactive,25,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1493&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.5025,,,1,0,-4.8501,,,1,0
83,68307,219799,C1=CC=C(C=C1)OC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Inactive,17,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1507&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.0226,,,2,0.047,-4.61,,,2,0.0123
84,68310,11111,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.OS(=O)(=O)O,Inactive,30,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1510&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.8001,,,1,0,-4.9979,,,1,0
85,68346,3610,CCCCCCC1=C(C=C(C=C1)O)O,Inactive,5,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1570&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.325,,,2,0.0818,-4,,,2,0
86,68377,135466838,C1=CC=C(C(=C1)/C=N/NC(=O)N)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1604&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
87,68387,219835,C[C@H](CCC(=O)O)[C@H]1CC[C@@]2([C@@]1(CC(=O)[C@H]3[C@H]2C(=O)C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1614&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
88,68393,219840,C1=COC(=C1)CNC2=NC=NC3=C2C=NN3,Inactive,2,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1620&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0987,,,1,0,-4,,,1,0
89,68457,219893,C(C(C(C(C1C(C(C(=O)O1)O)O)O)O)O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1684&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
90,538354,3083804,C(C(=O)C(C(C(C(=O)O)O)O)O)O.[Ca+2],Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1694&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
